Country,Percent,Cost,Population,Color
Congo,90,2.077,80.6,#883039
Iran,20.3,3.55,17.1,#2D8587
Algeria,30.2,3.75,13.2,#883039
Iraq,49.6,3.54,20,#2D8587
Nepal,84,4.36,24.5,#2D8587
Philippines,68.6,4.108,75.2,#2D8587
Myanmar,65.1,4.186,35.4,#2D8587
Uganda,82.2,2.66,37.6,#883039
Ghana,61.2,4.033,19,#883039
Egypt,72.9,3.369,74.6,#883039
Ethiopia,86.8,3.366,99.7,#883039
Brazil,19,3.084,40.4,#A2559C
Mexico,26.3,3.293,33.9,#E04E4B
Malta,0.7,3.769,7,#4C6A9C
St. Lucia,20.6,3.594,35,#E04E4B
UAE,0.7,3.111,7,#2D8587
South Africa,65.2,4.298,38.7,#883039
Vietnam,30,4.072,29.2,#2D8587
Kenya,81.1,2.968,43.6,#883039
Tanzania,87.6,2.736,52.3,#883039